parents,clones,t1,t2,t3
1,1,305737,1065434,2223396
2,2,110698,456938,780988
3,3,102426,435289,1102516
4,4,100283,293757,744722
5,5,93340,322178,694149
6,6,89524,391019,735989
7,7,88300,297357,501741
8,8,87583,367940,843916
9,9,83538,348398,750306
10,10,80477,349222,664222
11,11,80315,319236,582364
12,12,77312,261277,376912
13,13,73286,317222,767830
14,14,73276,251397,573791
15,15,73257,259316,497403
16,16,72377,339936,810264
17,17,72195,291034,675805
18,18,70206,141792,324877
19,19,69498,278524,584515
20,20,67299,257000,564208
21,21,67050,330723,785628
22,22,66926,194607,491810
23,23,65300,186740,450744
24,24,61350,271054,617695
25,25,59552,236091,576215
26,26,59361,164850,388956
27,27,58692,179311,377063
28,28,57104,133560,240227
29,29,55105,237478,540798
30,30,54149,243040,587335
31,31,54082,228203,476955
32,32,53642,221745,538714
33,33,53537,209391,510079
34,34,52982,177673,353908
35,35,52341,135553,313436
36,36,51815,164339,358973
37,37,50448,186396,295922
38,38,50257,150682,272474
39,39,48918,211123,417110
40,40,47263,163285,284415
41,41,46957,205541,456771
42,42,45723,176140,364905
43,43,45073,165090,331074
44,44,44729,185081,346146
45,45,43935,210622,572216
46,46,43524,193960,371527
47,47,43017,172686,378393
48,48,42653,168387,339628
49,49,41085,152977,301618
50,50,40683,154897,314097
51,51,40559,190319,393653
52,52,40205,172696,422034
53,53,39880,184497,363717
54,54,39851,139006,217006
55,55,39335,125860,248140
56,56,39201,164214,402104
57,57,38732,167000,303750
58,58,38713,160103,392003
59,59,37824,138088,253677
60,60,37671,157954,383467
61,61,37585,151798,279737
62,62,37527,175336,428211
63,63,37422,126236,198831
64,64,35567,171768,383458
65,65,35538,190340,431031
66,66,35165,128698,227739
67,67,34515,171330,485132
68,68,34371,142575,280793
69,69,34008,130534,277313
70,70,33826,132298,268362
71,71,33788,165257,377695
72,72,33434,131901,268598
73,73,33386,133247,266853
74,74,33099,155450,378327
75,75,32717,155825,396143
76,76,32583,124180,228305
77,77,32459,132684,277275
78,78,32363,92285,208772
79,79,32277,175806,327990
80,80,32239,144776,382147
81,81,32124,115051,180882
82,82,32095,115583,215770
83,83,31904,123387,269663
84,84,31875,106349,192295
85,85,31627,116574,250979
86,86,31215,148720,359256
87,87,31158,102385,153540
88,88,31015,107288,205726
89,89,30976,112057,246471
90,90,30938,90501,162245
91,91,30498,108572,199699
92,92,30364,108217,191455
93,93,30259,77198,126744
94,94,29944,129867,335252
95,95,29724,132141,327508
96,96,29389,120038,229786
97,97,29341,101091,174978
98,98,28882,117659,263146
99,99,28777,115343,218826
100,100,28767,144140,264910
101,101,28729,128489,237501
102,102,28719,112223,242849
103,103,28662,109907,160142
104,104,28490,101560,243245
105,105,28413,99004,147343
106,106,28241,98451,180298
107,107,28165,110283,237294
108,108,27926,88508,138024
109,109,27811,123711,231144
110,110,27696,110523,233049
111,111,27696,76290,88159
112,112,27620,128531,240180
113,113,27227,104993,229890
114,114,26788,127665,313700
115,115,26367,72524,153445
116,116,26195,116397,255054
117,117,26175,121259,286018
118,118,26109,97763,170894
119,119,26051,109959,215214
120,120,25946,118108,330234
121,121,25936,79316,211743
122,122,25774,94632,240755
123,123,25439,110773,270503
124,124,25401,82822,125839
125,125,25372,99870,210394
126,126,24942,114216,295469
127,127,24808,69780,92441
128,128,24731,85806,173648
129,129,24559,111545,227834
130,130,24397,88571,151493
131,131,24224,80140,145051
132,132,23804,111942,308541
133,133,23737,103658,213592
134,134,23737,79681,121377
135,135,23651,101341,255865
136,136,23383,95853,205509
137,137,23211,94758,188833
138,138,23039,93370,174808
139,139,22857,88842,213243
140,140,22790,101268,241783
141,141,22752,62935,94572
142,142,22331,98754,192578
143,143,22226,83646,188984
144,144,22226,107633,261986
145,145,22044,104972,214214
146,146,22025,77407,149748
147,147,21910,84335,205546
148,148,21767,57771,92592
149,149,21661,89457,199274
150,150,21508,92869,160887
151,151,21470,107904,245546
152,152,21441,78367,138637
153,153,21422,111243,276926
154,154,21413,102698,274747
155,155,21193,60567,121264
156,156,21069,94810,181477
157,157,21002,60316,101184
158,158,20734,82425,162566
159,159,20724,64083,93620
160,160,20676,68413,114209
161,161,20648,76948,171583
162,162,20294,83625,203056
163,163,19940,88529,166027
